part_number,description,category,criticality,unit_cost_usd,current_stock,safety_stock,reorder_point,lead_time_days,lead_time_volatility,aog_cost_per_day,supplier_id,last_updated,stock_coverage_days,risk_flag,on_time_delivery_pct,risk_exposure,region,country,country_code,inventory_risk_score,supplier_multiplier,composite_risk_score,risk_level,estimated_outage_days,financial_exposure_usd
PN-ELE-00000,Electrical Component - Series B,Electrical,High,4836,35,27,35,81.0,High,140056,SUP-0058,2025-11-12,38.888888888888886,Healthy,80.6,Low,Europe,Germany,DEU,50,1.0,50.0,Medium,81.0,0.0
PN-ELE-00001,Electrical Component - Series A,Electrical,High,3849,28,16,20,36.0,Medium,117273,SUP-0109,2025-10-30,52.5,Healthy,95.1,Medium,Asia-Pacific,Vietnam,VNM,35,1.1,38.5,Medium,36.0,0.0
PN-ENG-00002,Engine Component - Series A,Engine,Critical,50990,34,22,28,55.0,Medium,224968,SUP-0144,2025-11-20,46.36363636363637,Healthy,74.3,High,Middle East,Turkey,TUR,45,1.3,58.5,Medium,55.0,0.0
PN-ELE-00003,Electrical Component - Series B,Electrical,High,4867,28,19,24,70.0,High,218991,SUP-0115,2026-01-09,44.21052631578947,Healthy,86.1,Medium,Asia-Pacific,China,CHN,50,1.1,55.00000000000001,Medium,70.0,0.0
PN-HYD-00004,Hydraulics Component - Series B,Hydraulics,High,9973,-1,26,33,20.0,Low,135692,SUP-0109,2025-12-08,-1.1538461538461535,Critical,95.1,Medium,Asia-Pacific,Vietnam,VNM,65,1.1,71.5,High,20.0,2713840.0
PN-HYD-00005,Hydraulics Component - Series C,Hydraulics,High,5020,19,15,19,14.0,Low,226398,SUP-0027,2025-11-06,38.0,Healthy,82.4,High,Middle East,Qatar,QAT,25,1.3,32.5,Medium,14.0,0.0
PN-LAN-00006,Landing Gear Component - Series C,Landing Gear,Critical,18697,40,25,32,10.0,Low,353156,SUP-0012,2025-12-23,48.0,Healthy,76.9,High,Asia-Pacific,Taiwan,TWN,35,1.3,45.5,Medium,10.0,0.0
PN-CAB-00007,Cabin Systems Component - Series A,Cabin Systems,Medium,2580,26,32,41,68.0,High,88980,SUP-0142,2025-12-02,24.375,Warning,75.1,Medium,Europe,Germany,DEU,65,1.1,71.5,High,68.0,6050640.0
PN-STR-00008,Structural Component - Series C,Structural,Medium,10044,28,20,26,47.0,Medium,86092,SUP-0148,2025-11-19,42.0,Healthy,95.7,Low,Europe,Italy,ITA,25,1.0,25.0,Low,47.0,0.0
PN-ELE-00009,Electrical Component - Series C,Electrical,High,5916,29,22,28,14.0,Low,205690,SUP-0021,2025-11-24,39.54545454545455,Healthy,88.8,High,Middle East,Saudi Arabia,SAU,25,1.3,32.5,Medium,14.0,0.0
PN-STR-00010,Structural Component - Series C,Structural,Medium,11514,26,14,18,78.0,High,78233,SUP-0042,2025-12-12,55.714285714285715,Healthy,72.8,Medium,North America,Canada,CAN,40,1.1,44.0,Medium,78.0,0.0
PN-HYD-00011,Hydraulics Component - Series A,Hydraulics,High,7822,35,21,27,41.0,Medium,107939,SUP-0044,2026-01-02,50.0,Healthy,64.9,High,Asia-Pacific,South Korea,KOR,35,1.3,45.5,Medium,41.0,0.0
PN-ELE-00012,Electrical Component - Series C,Electrical,High,5090,49,27,35,33.0,Medium,154131,SUP-0143,2025-11-23,54.44444444444444,Healthy,60.0,High,Middle East,Turkey,TUR,35,1.3,45.5,Medium,33.0,0.0
PN-ELE-00013,Electrical Component - Series A,Electrical,High,6022,17,20,26,21.0,Low,124319,SUP-0059,2025-10-30,25.5,Warning,97.0,Medium,Asia-Pacific,China,CHN,50,1.1,55.00000000000001,Medium,21.0,0.0
PN-STR-00014,Structural Component - Series B,Structural,Medium,10038,27,14,18,51.0,Medium,79368,SUP-0146,2025-12-05,57.857142857142854,Healthy,70.6,Medium,North America,USA,USA,25,1.1,27.500000000000004,Low,51.0,0.0
PN-AVI-00015,Avionics Component - Series X,Avionics,High,10320,41,22,28,68.0,High,155237,SUP-0037,2025-11-28,55.909090909090914,Healthy,69.1,High,Middle East,Israel,ISR,50,1.3,65.0,High,68.0,10556116.0
PN-AVI-00016,Avionics Component - Series C,Avionics,High,15409,17,22,28,78.0,High,203405,SUP-0150,2025-12-19,23.181818181818183,Warning,94.4,High,Middle East,Saudi Arabia,SAU,75,1.3,97.5,High,78.0,15865590.0
PN-CAB-00017,Cabin Systems Component - Series B,Cabin Systems,Medium,3045,36,27,35,38.0,Medium,117271,SUP-0131,2025-12-28,40.0,Healthy,74.0,High,Asia-Pacific,Singapore,SGP,25,1.3,32.5,Medium,38.0,0.0
PN-ENG-00018,Engine Component - Series B,Engine,Critical,31475,69,48,62,62.0,High,272151,SUP-0041,2026-01-21,43.125,Healthy,79.9,Medium,North America,Canada,CAN,60,1.1,66.0,High,62.0,16873362.0
PN-LAN-00019,Landing Gear Component - Series X,Landing Gear,Critical,28614,57,30,39,25.0,Low,254460,SUP-0136,2025-11-27,57.0,Healthy,81.3,Low,Europe,Italy,ITA,35,1.0,35.0,Medium,25.0,0.0
PN-CAB-00020,Cabin Systems Component - Series A,Cabin Systems,Medium,2370,-1,22,28,62.0,High,119539,SUP-0138,2025-11-29,-1.3636363636363638,Critical,72.6,Medium,North America,USA,USA,80,1.1,88.0,High,62.0,7411418.0
PN-STR-00021,Structural Component - Series X,Structural,Medium,15218,34,21,27,22.0,Low,103587,SUP-0041,2025-12-23,48.57142857142858,Healthy,79.9,Medium,North America,Canada,CAN,15,1.1,16.5,Low,22.0,0.0
PN-ENG-00022,Engine Component - Series C,Engine,Critical,58445,38,22,28,25.0,Low,317137,SUP-0129,2025-11-17,51.81818181818182,Healthy,79.0,Medium,North America,USA,USA,35,1.1,38.5,Medium,25.0,0.0
PN-CAB-00023,Cabin Systems Component - Series C,Cabin Systems,Medium,4048,20,21,27,45.0,Medium,66376,SUP-0130,2026-01-11,28.571428571428573,Warning,75.8,High,Asia-Pacific,Thailand,THA,50,1.3,65.0,High,45.0,2986920.0
PN-AVI-00024,Avionics Component - Series A,Avionics,High,16919,24,21,27,13.0,Low,265729,SUP-0083,2025-12-27,34.285714285714285,Warning,80.0,High,Asia-Pacific,China,CHN,50,1.3,65.0,High,13.0,3454477.0
PN-ENG-00025,Engine Component - Series C,Engine,Critical,52331,39,31,40,18.0,Low,333593,SUP-0062,2025-11-02,37.74193548387096,Warning,67.4,High,Middle East,Israel,ISR,60,1.3,78.0,High,18.0,6004674.0
PN-AVI-00026,Avionics Component - Series A,Avionics,High,19645,33,18,23,26.0,Low,258726,SUP-0125,2025-11-03,55.0,Healthy,65.9,Medium,North America,USA,USA,25,1.1,27.500000000000004,Low,26.0,0.0
PN-STR-00027,Structural Component - Series X,Structural,Medium,7248,49,26,33,31.0,Medium,85590,SUP-0141,2025-11-16,56.53846153846153,Healthy,98.8,Low,Europe,UK,GBR,25,1.0,25.0,Low,31.0,0.0
PN-HYD-00028,Hydraulics Component - Series B,Hydraulics,High,4915,34,25,32,39.0,Medium,164084,SUP-0139,2026-01-22,40.8,Healthy,70.1,High,Middle East,Israel,ISR,35,1.3,45.5,Medium,39.0,0.0
PN-AVI-00029,Avionics Component - Series C,Avionics,High,15510,31,18,23,39.0,Medium,207902,SUP-0113,2025-12-31,51.66666666666667,Healthy,67.7,Medium,North America,USA,USA,35,1.1,38.5,Medium,39.0,0.0
PN-LAN-00030,Landing Gear Component - Series C,Landing Gear,Critical,32840,65,33,42,57.0,Medium,277006,SUP-0006,2026-01-09,59.090909090909086,Healthy,65.3,High,Middle East,Israel,ISR,45,1.3,58.5,Medium,57.0,0.0
PN-CAB-00031,Cabin Systems Component - Series A,Cabin Systems,Medium,2352,44,28,36,75.0,High,98927,SUP-0016,2025-11-24,47.14285714285714,Healthy,78.0,Medium,North America,USA,USA,40,1.1,44.0,Medium,75.0,0.0
PN-ENG-00032,Engine Component - Series A,Engine,Critical,68157,61,31,40,36.0,Medium,340844,SUP-0132,2025-11-25,59.03225806451612,Healthy,67.9,Medium,Europe,UK,GBR,45,1.1,49.50000000000001,Medium,36.0,0.0
PN-HYD-00033,Hydraulics Component - Series B,Hydraulics,High,8462,20,21,27,59.0,Medium,237049,SUP-0147,2026-01-07,28.571428571428573,Warning,61.2,Medium,Europe,France,FRA,60,1.1,66.0,High,59.0,13985891.0
PN-LAN-00034,Landing Gear Component - Series X,Landing Gear,Critical,18389,25,18,23,73.0,High,260280,SUP-0049,2025-11-07,41.66666666666667,Healthy,69.5,Medium,North America,USA,USA,60,1.1,66.0,High,73.0,19000440.0
